epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,636.472,1.8335,2.08368,3.2876,1.73495,0,0.38171,0.37657,0.32447,0.1474,0.40915,0.38535,0.33665,0.10573,1.79628,1.8348,3.55847,1.77888,0,0.000665266,0.000665266,0.000665266
2,1280.99,1.90624,1.99896,2.29175,1.79904,0,0.39647,0.46145,0.36821,0.1738,0.41392,0.45368,0.35899,0.10626,1.71972,1.98809,1.96917,1.7219,0,0.00130996,0.00130996,0.00130996
3,1924.79,1.86895,1.9449,2.15624,1.75523,0,0.4211,0.41662,0.34441,0.15067,0.41188,0.39809,0.30518,0.08355,1.81089,1.87958,2.17408,1.70516,0,0.00193265,0.00193265,0.00193265
4,2566.9,1.81709,1.89841,2.0585,1.73014,0,0.3983,0.45107,0.35134,0.16761,0.40615,0.45188,0.33884,0.10706,1.7121,1.87269,1.94319,1.64986,0,0.001901,0.001901,0.001901
5,3208.13,1.74412,1.84716,1.8792,1.67361,0,0.47493,0.50986,0.46844,0.2302,0.49529,0.50149,0.47057,0.158,1.74458,1.84017,1.7317,1.65148,0,0.001868,0.001868,0.001868
6,3849.56,1.68523,1.81378,1.81685,1.65784,0,0.5251,0.44889,0.46296,0.23716,0.52225,0.44949,0.44268,0.13701,1.68084,1.84778,1.77037,1.65173,0,0.001835,0.001835,0.001835
7,4489.49,1.67911,1.80528,1.76493,1.62048,0,0.45695,0.45666,0.42328,0.21163,0.4739,0.45368,0.41131,0.13783,1.72186,1.91749,2.02434,1.64034,0,0.001802,0.001802,0.001802
8,5128.21,1.64347,1.76889,1.70831,1.61829,0,0.44755,0.44889,0.38883,0.1939,0.4782,0.46444,0.41958,0.1474,1.75099,1.84756,2.07592,1.69877,0,0.001769,0.001769,0.001769
9,5767.75,1.60156,1.76155,1.65541,1.57932,0,0.52448,0.56784,0.54371,0.28716,0.53232,0.56401,0.54068,0.18413,1.58301,1.74183,1.57923,1.55224,0,0.001736,0.001736,0.001736
10,6407.18,1.60073,1.7409,1.6506,1.58633,0,0.54342,0.55206,0.53001,0.2714,0.55842,0.55469,0.52533,0.17925,1.5889,1.79355,1.67212,1.60757,0,0.001703,0.001703,0.001703
